"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"137"	4	1	"04/15/16 00:45:11"	1460681013.84303	-22.61	0.211	9999999	0	-19.854	13.154	43.982	0.049	0.485	0.001	32.433	0	9999999	0	16.27	0.08	0.18	0.003	0.222	0.001	0	NA	NA	NA	NA	NA	NA	"25"	25	0.6	906	" Mtot = 1020.11g."	"04/14/16"	"00:45:11"	1460594613.84303	10000031.433	44.467	16.45	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"138"	5	1	"04/15/16 00:56:27"	1460681688.85711	-22.499	0.216	9999999	0	-19.155	15.569	43.33	0.048	0.478	0.001	37.845	0	9999999	0	16.575	0.072	0.183	0.003	0.22	0.001	0	NA	NA	NA	NA	NA	NA	"25"	25	0.6	906	" Mtot = 1020.11g."	"04/14/16"	"00:56:27"	1460595288.85711	10000036.845	43.808	16.758	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"140"	7	1	"04/15/16 01:17:21"	1460682941.32639	-22.626	0.193	9999999	0	6.805	16.047	44.706	0.05	0.496	0.001	38.34	0	9999999	0	17.154	0.067	0.196	0.003	0.588	0.024	0	NA	NA	NA	NA	NA	NA	"28"	28	0.6	906	" Mtot = 928.88g."	"04/14/16"	"01:17:21"	1460596541.32639	10000037.34	45.202	17.35	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"141"	8	1	"04/15/16 01:27:28"	1460683547.88364	-22.656	0.219	9999999	0	-1.596	12.348	44.543	0.052	0.493	0.001	34.071	0	9999999	0	17.135	0.079	0.194	0.003	0.501	0	0	NA	NA	NA	NA	NA	NA	"28"	28	0.6	906	" Mtot = 928.88g."	"04/14/16"	"01:27:28"	1460597147.88364	10000033.071	45.036	17.329	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"142"	9	1	"04/15/16 01:37:55"	1460684174.76655	-22.548	0.167	9999999	0	-13.557	17.334	47.101	0.051	0.52	0.001	40.784	0	9999999	0	16.857	0.072	0.188	0.003	0.369	0.001	0	NA	NA	NA	NA	NA	NA	"32"	32	0.6	906	" Mtot = 850.32g."	"04/14/16"	"01:37:55"	1460597774.76655	10000039.784	47.621	17.045	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"143"	10	1	"04/15/16 01:47:57"	1460684777.45118	-22.546	0.208	9999999	0	-11.277	15.838	46.658	0.054	0.515	0.001	35.42	0	9999999	0	16.495	0.061	0.184	0.003	0.317	0.001	0	NA	NA	NA	NA	NA	NA	"32"	32	0.6	906	" Mtot = 850.32g."	"04/14/16"	"01:47:57"	1460598377.45118	10000034.42	47.173	16.679	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"144"	11	1	"04/15/16 01:59:05"	1460685444.91805	-22.599	0.18	9999999	0	-11.547	14.857	47.086	0.053	0.52	0.001	38.476	0	9999999	0	18.381	0.069	0.205	0.003	0.323	0	0	NA	NA	NA	NA	NA	NA	"35"	35	0.6	906	" Mtot = 790.55g."	"04/14/16"	"01:59:05"	1460599044.91805	10000037.476	47.606	18.586	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"145"	12	1	"04/15/16 02:09:01"	1460686041.29839	-22.547	0.232	9999999	0	-8.147	14.407	46.249	0.054	0.511	0.001	40.277	0	9999999	0	18.47	0.066	0.207	0.003	0.407	0.001	0	NA	NA	NA	NA	NA	NA	"35"	35	0.6	906	" Mtot = 790.55g."	"04/14/16"	"02:09:01"	1460599641.29839	10000039.277	46.76	18.677	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"146"	13	1	"04/15/16 02:19:18"	1460686658.01375	-22.503	0.177	9999999	0	-18.308	14.63	45.967	0.054	0.507	0.001	36.29	0	9999999	0	18.556	0.086	0.206	0.003	0.285	0.001	0	NA	NA	NA	NA	NA	NA	"35"	35	0.6	906	" Mtot = 790.55g."	"04/14/16"	"02:19:18"	1460600258.01375	10000035.29	46.474	18.762	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"147"	14	1	"04/15/16 02:30:04"	1460687304.09044	-22.491	0.212	9999999	0	-8.445	13.28	48.446	0.054	0.536	0.001	42.061	0	9999999	0	18.429	0.066	0.207	0.003	0.45	0.001	0	NA	NA	NA	NA	NA	NA	"36"	36	0.6	906	" Mtot = 826.82g."	"04/14/16"	"02:30:04"	1460600904.09044	10000041.061	48.982	18.636	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"148"	15	1	"04/15/16 02:40:21"	1460687920.43719	-22.524	0.186	9999999	0	-9.763	13.365	48.057	0.056	0.531	0.001	38.078	0	9999999	0	18.805	0.078	0.211	0.003	0.426	0.001	0	NA	NA	NA	NA	NA	NA	"36"	36	0.6	906	" Mtot = 826.82g."	"04/14/16"	"02:40:21"	1460601520.43719	10000037.078	48.588	19.016	NA	NA	1023.1	6	767.38810757037	39.3542715896606	0	9999999
"184"	2	1	"04/14/16 16:17:28"	1460650553.19757	-67.172	2.177	-73.461	1.673	-9.245	0.745	3.134	0.006	0.033	0	3.153	0.003	0.033	0	393.135	0.133	4.408	0.004	0.406	0.001	0	NA	NA	NA	NA	NA	NA	"7"	7	10	901	" Mtot = 622.79g. did open syringe valve a little later than prompted."	"04/14/16"	"16:17:28"	1460650553.19757	3.186	3.167	397.543	NA	NA	1023.1	6	767.38810757037	2.34822507962147	0	-73.461
"186"	4	1	"04/14/16 16:39:25"	1460651870.20217	-68.499	2.759	-73.327	1.782	-8.838	0.747	3.019	0.008	0.032	0	3.04	0.003	0.032	0	381.888	0.179	4.292	0.003	0.518	0.001	0	NA	NA	NA	NA	NA	NA	"7"	7	10	901	" Mtot = 622.79g."	"04/14/16"	"16:39:25"	1460651870.20217	3.072	3.051	386.18	NA	NA	1023.1	6	767.38810757037	2.34822507962147	0	-73.327
"187"	5	1	"04/14/16 16:49:40"	1460652484.43583	-68.918	2.454	-73.006	1.956	-8.609	0.779	3.002	0.007	0.032	0	3.029	0.003	0.032	0	387.195	0.18	4.366	0.004	0.693	0.001	0	NA	NA	NA	NA	NA	NA	"7"	7	10	901	" Mtot = 622.79g."	"04/14/16"	"16:49:40"	1460652484.43583	3.061	3.034	391.561	NA	NA	1023.1	6	767.38810757037	2.34822507962147	0	-73.006
"213"	18	1	"04/14/16 22:07:22"	1460671545.50944	-37.485	0.675	-37.006	0.427	-7.138	1.424	14.346	0.017	0.159	0	14.385	0.017	0.158	0	175.331	0.13	2.007	0.003	1.42	0.002	0	NA	NA	NA	NA	NA	NA	"11"	11	5	868	" Mtot = 820.55. "	"04/14/16"	"22:07:22"	1460671545.50944	14.543	14.505	177.338	NA	NA	1023.1	6	767.38810757037	4.52443811123515	0	-37.006
"215"	20	1	"04/14/16 22:31:48"	1460673013.06538	-37.597	0.719	-36.814	0.585	-6.424	1.788	9.337	0.012	0.103	0	9.38	0.011	0.103	0	133.109	0.115	1.524	0.003	1.388	0.001	0	NA	NA	NA	NA	NA	NA	"14"	14	3	868	" Mtot = 778.22.   (Using 3 ml inj. volume to get back into HP range)"	"04/14/16"	"22:31:48"	1460673013.06538	9.483	9.44	134.633	NA	NA	1023.1	6	767.38810757037	7.54073018539192	0	-36.814
"216"	21	1	"04/14/16 22:43:57"	1460673741.95301	-38.067	0.911	-36.817	0.615	-6.431	2.082	9.099	0.013	0.101	0	9.147	0.012	0.101	0	127.093	0.11	1.46	0.003	1.567	0.001	0	NA	NA	NA	NA	NA	NA	"14"	14	3	868	" Mtot = 778.22."	"04/14/16"	"22:43:57"	1460673741.95301	9.248	9.2	128.553	NA	NA	1023.1	6	767.38810757037	7.54073018539192	0	-36.817
"217"	22	1	"04/14/16 22:54:42"	1460674386.2076	-38.094	0.889	-36.968	0.608	-5.987	1.918	9.316	0.014	0.103	0	9.362	0.011	0.103	0	129.415	0.117	1.486	0.003	1.525	0.001	0	NA	NA	NA	NA	NA	NA	"14"	14	3	868	" Mtot = 778.22.  Pssim = 868.1"	"04/14/16"	"22:54:42"	1460674386.2076	9.465	9.419	130.901	NA	NA	1023.1	6	767.38810757037	7.54073018539192	0	-36.968
"218"	23	1	"04/14/16 23:05:44"	1460675048.70606	-38.245	0.874	-36.976	0.561	-6.522	2.013	8.92	0.012	0.099	0	8.966	0.011	0.099	0	125.998	0.109	1.446	0.003	1.513	0.001	0	NA	NA	NA	NA	NA	NA	"17"	17	3	868	" Mtot = 852.68."	"04/14/16"	"23:05:44"	1460675048.70606	9.065	9.019	127.444	NA	NA	1023.1	6	767.38810757037	7.54073018539192	0	-36.976
"219"	24	1	"04/14/16 23:17:29"	1460675753.65239	-38.277	0.921	-36.93	0.717	-7.017	2.001	8.475	0.011	0.094	0	8.516	0.011	0.094	0	124.022	0.128	1.42	0.003	1.414	0.001	0	NA	NA	NA	NA	NA	NA	"17"	17	3	868	" Mtot = 852.68."	"04/14/16"	"23:17:29"	1460675753.65239	8.61	8.569	125.442	NA	NA	1023.1	6	767.38810757037	7.54073018539192	0	-36.93
"220"	25	1	"04/14/16 23:29:58"	1460676501.9138	-38.394	0.762	-37.021	0.593	-6.204	1.958	8.643	0.011	0.096	0	8.69	0.011	0.096	0	128.027	0.112	1.47	0.003	1.555	0.001	0	NA	NA	NA	NA	NA	NA	"17"	17	3	868	" Mtot = 852.68."	"04/14/16"	"23:29:58"	1460676501.9138	8.786	8.739	129.497	NA	NA	1023.1	6	767.38810757037	7.54073018539192	0	-37.021
"221"	26	1	"04/14/16 23:45:15"	1460677420.2173	-38.459	0.831	-37.111	0.533	-5.825	1.846	8.235	0.011	0.091	0	8.277	0.01	0.091	0	125.723	0.117	1.441	0.003	1.408	0.001	0	NA	NA	NA	NA	NA	NA	"20"	20	3	868	" Mtot = 830.48. P = 868.1"	"04/14/16"	"23:45:15"	1460677420.2173	8.368	8.326	127.164	NA	NA	1023.1	6	767.38810757037	7.54073018539192	0	-37.111
"222"	27	1	"04/14/16 23:55:44"	1460678048.99618	-38.334	0.955	-37.013	0.617	-7.184	1.868	8.246	0.012	0.091	0	8.283	0.01	0.091	0	124.556	0.129	1.423	0.003	1.317	0.001	0	NA	NA	NA	NA	NA	NA	"20"	20	3	868	" Mtot = 830.48."	"04/14/16"	"23:55:44"	1460678048.99618	8.374	8.337	125.979	NA	NA	1023.1	6	767.38810757037	7.54073018539192	0	-37.013
"225"	30	1	"04/15/16 01:00:43"	1460681948.09384	-53.625	3.285	-49.485	2.573	-2.865	0.4	1.92	0.006	0.021	0	1.981	0.002	0.022	0	967.223	0.437	11.184	0.005	1.736	0.003	0	NA	NA	NA	NA	NA	NA	"15"	15	15	868	" Mtot = 862.51. "	"04/15/16"	"01:00:43"	1460681948.09384	2.003	1.941	978.407	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-49.485
"226"	31	1	"04/15/16 01:10:56"	1460682560.5636	-52.909	3.767	-49.736	2.646	-3.015	0.381	1.917	0.007	0.021	0	1.976	0.002	0.022	0	971.33	0.44	11.212	0.005	1.653	0.001	0	NA	NA	NA	NA	NA	NA	"15"	15	15	868	" Mtot = 862.51."	"04/15/16"	"01:10:56"	1460682560.5636	1.998	1.938	982.542	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-49.736
"227"	32	1	"04/15/16 01:24:30"	1460683374.52464	-48.857	3.845	-49.658	2.737	-4.084	0.348	1.814	0.007	0.02	0	1.878	0.002	0.02	0	1415.514	0.583	16.308	0.007	1.608	0.002	0	NA	NA	NA	NA	NA	NA	"18"	18	15	868	" Mtot = 816.86.  "	"04/15/16"	"01:24:30"	1460683374.52464	1.898	1.834	1431.822	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-49.658
"228"	33	1	"04/15/16 01:38:18"	1460684202.48582	-52.647	4.128	-49.834	2.906	-3.996	0.316	1.787	0.007	0.02	0	1.849	0.002	0.02	0	1404.617	0.592	16.215	0.008	1.711	0.002	0	NA	NA	NA	NA	NA	NA	"18"	18	15	868	" Mtot = 816.86. start john. Pssim = 868.1"	"04/15/16"	"01:38:18"	1460684202.48582	1.869	1.807	1420.832	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-49.834
"229"	34	1	"04/15/16 01:50:59"	1460684964.53389	-48.699	2.826	-49.917	2.346	-4.593	0.315	2.024	0.006	0.022	0	2.088	0.002	0.023	0	1784.954	0.707	20.565	0.008	1.638	0.001	0	NA	NA	NA	NA	NA	NA	"12"	12	15	868	" Mtot = 895.31. Brice noticed CO2 is very high (1780 ppm)"	"04/15/16"	"01:50:59"	1460684964.53389	2.111	2.046	1805.519	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-49.917
"230"	35	1	"04/15/16 02:02:43"	1460685667.6688	-48.597	3.11	-50.032	2.428	-4.648	0.275	2.034	0.006	0.022	0	2.097	0.002	0.023	0	1800.878	0.772	20.733	0.009	1.601	0.001	0	NA	NA	NA	NA	NA	NA	"12"	12	15	868	" Mtot = 895.31. Pssim = 868.4 "	"04/15/16"	"02:02:43"	1460685667.6688	2.12	2.056	1821.611	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-50.032
"231"	36	1	"04/15/16 02:14:14"	1460686358.50953	-59.453	2.887	-58.921	1.722	-3.58	0.364	2.388	0.007	0.026	0	2.452	0.003	0.026	0	1028.286	0.436	11.873	0.006	1.699	0.001	0	NA	NA	NA	NA	NA	NA	"1"	39	15	868	" Mtot = 922.39."	"04/15/16"	"02:14:14"	1460686358.50953	2.478	2.414	1040.159	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-58.921
"232"	37	1	"04/15/16 02:25:06"	1460687010.69271	-61.713	2.64	-58.785	2.065	-3.359	0.347	2.352	0.007	0.026	0	2.431	0.003	0.026	0	1011.789	0.447	11.786	0.006	2.144	0.001	0	NA	NA	NA	NA	NA	NA	"1"	39	15	868	" Mtot = 922.39. Pssim = 868.0 For some reason a particularly wet injection."	"04/15/16"	"02:25:06"	1460687010.69271	2.457	2.378	1023.575	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-58.785
"233"	38	1	"04/15/16 02:37:03"	1460687728.00222	-60.197	3.906	-58.496	2.936	-3.076	0.371	2.15	0.006	0.023	0	2.227	0.002	0.024	0	963.962	0.479	11.201	0.005	2.001	0.001	0	NA	NA	NA	NA	NA	NA	"3"	40	15	868	" Mtot = 800.88. "	"04/15/16"	"02:37:03"	1460687728.00222	2.251	2.173	975.163	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-58.496
"234"	39	1	"04/15/16 02:47:22"	1460688346.61229	-60.513	3.029	-58.643	2.164	-3.275	0.44	2.163	0.007	0.024	0	2.231	0.003	0.024	0	963.494	0.477	11.158	0.007	1.839	0.001	0	NA	NA	NA	NA	NA	NA	"3"	40	15	868	" Mtot = 800.88"	"04/15/16"	"02:47:22"	1460688346.61229	2.255	2.187	974.652	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-58.643
"235"	40	1	"04/15/16 02:57:44"	1460688968.42133	-59.288	3.698	-58.013	2.495	-3.214	0.323	2.336	0.007	0.025	0	2.402	0.003	0.026	0	964.313	0.451	11.155	0.005	1.778	0.001	0	NA	NA	NA	NA	NA	NA	"4"	41	15	868	" Mtot = 911.16. Pssim = 867.7"	"04/15/16"	"02:57:44"	1460688968.42133	2.428	2.361	975.468	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-58.013
"236"	41	1	"04/15/16 03:07:46"	1460689571.25771	-58.655	3.109	-58.313	1.931	-3.275	0.36	2.347	0.008	0.026	0	2.41	0.003	0.026	0	964.033	0.409	11.133	0.005	1.69	0.001	0	NA	NA	NA	NA	NA	NA	"4"	41	15	868	" Mtot = 911.16. Pssim = 867.9"	"04/15/16"	"03:07:46"	1460689571.25771	2.436	2.373	975.166	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-58.313
"237"	42	1	"04/15/16 03:18:14"	1460690199.40707	-62.164	2.523	-63.222	1.777	-3.424	0.433	2.593	0.006	0.028	0	2.659	0.003	0.029	0	997.655	0.471	11.517	0.007	1.68	0.001	0	NA	NA	NA	NA	NA	NA	"5"	42	15	868	" Mtot = 833.74. On first try to draw headspace from bag. got a drop of water. dried out syringe with Kimwipe."	"04/15/16"	"03:18:14"	1460690199.40707	2.688	2.621	1009.172	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-63.222
"238"	43	1	"04/15/16 03:28:42"	1460690826.05431	-62.275	3.172	-63.137	2.344	-3.297	0.356	2.636	0.006	0.029	0	2.701	0.003	0.029	0	1013.85	0.422	11.707	0.005	1.685	0.001	0	NA	NA	NA	NA	NA	NA	"5"	42	15	868	" Mtot = 833.74. Pssim = 867.9"	"04/15/16"	"03:28:42"	1460690826.05431	2.73	2.665	1025.557	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-63.137
"239"	44	1	"04/15/16 03:39:25"	1460691468.82422	-62.009	2.738	-63.259	2.185	-3.513	0.282	2.634	0.006	0.029	0	2.704	0.003	0.029	0	1017.569	0.411	11.762	0.005	1.753	0.001	0	NA	NA	NA	NA	NA	NA	"5"	42	15	868	" Mtot = 833.74. Triplicate measurement."	"04/15/16"	"03:39:25"	1460691468.82422	2.733	2.663	1029.331	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-63.259
"240"	45	1	"04/15/16 03:50:47"	1460692151.28449	-62.071	2.457	-63.188	1.719	-3.831	0.301	2.831	0.007	0.031	0	2.9	0.003	0.031	0	1130.852	0.531	13.073	0.006	1.776	0.001	0	NA	NA	NA	NA	NA	NA	"31"	43	15	868	" Mtot = 864.17. Pssim = 867.8"	"04/15/16"	"03:50:47"	1460692151.28449	2.931	2.862	1143.925	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-63.188
"241"	46	1	"04/15/16 04:01:45"	1460692809.88162	-62.178	2.525	-64.146	1.945	-4.023	0.323	2.836	0.008	0.031	0	2.902	0.003	0.031	0	1140.184	0.514	13.153	0.007	1.674	0.001	0	NA	NA	NA	NA	NA	NA	"31"	43	15	868	" Mtot = 864.17."	"04/15/16"	"04:01:45"	1460692809.88162	2.933	2.867	1153.337	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-64.146
"242"	47	1	"04/15/16 04:11:59"	1460693422.50004	-61.905	2.243	-63.674	1.538	-4.097	0.326	2.856	0.007	0.031	0	2.918	0.003	0.031	0	1152.475	0.513	13.272	0.006	1.586	0.001	0	NA	NA	NA	NA	NA	NA	"31"	43	15	868	" Mtot = 864.17. Triplicate measurement."	"04/15/16"	"04:11:59"	1460693422.50004	2.949	2.887	1165.747	NA	NA	1023.2	7	767.46311373864	1.50799864203958	0	-63.674
"259"	1	1	"04/15/16 08:26:13"	1460708677.30159	-38.172	2.078	-39.642	1.568	-9.62	2.481	3.913	0.009	0.043	0	3.925	0.005	0.043	0	124.465	0.125	1.393	0.004	0.326	0.001	0	NA	NA	NA	NA	NA	NA	"26"	26	5	864	" Mtot=872.42. Pssim=864 Torr."	"04/15/16"	"08:26:13"	1460708677.30159	3.968	3.956	125.858	NA	NA	1023.2	7	767.46311373864	4.50314801862509	0	-39.642
"260"	2	1	"04/15/16 08:37:55"	1460709380.20252	-39.273	2.058	-39.326	1.398	-9.455	1.905	3.938	0.008	0.043	0	3.958	0.005	0.043	0	126.721	0.107	1.426	0.003	0.605	0.001	0	NA	NA	NA	NA	NA	NA	"26"	26	5	865	" Mtot=872.42. "	"04/15/16"	"08:37:55"	1460709380.20252	4.001	3.981	128.147	NA	NA	1023.2	7	767.46311373864	4.5083599954985	0	-39.326
"261"	3	1	"04/15/16 08:49:54"	1460710098.8319	-39.857	1.749	-38.951	1.277	-8.597	1.875	4.728	0.009	0.052	0	4.752	0.006	0.052	0	145.311	0.125	1.642	0.004	0.811	0.002	0	NA	NA	NA	NA	NA	NA	"29"	29	5	865	" Mtot=755.10. Pssim=865 Torr"	"04/15/16"	"08:49:54"	1460710098.8319	4.804	4.78	146.953	NA	NA	1023.2	7	767.46311373864	4.5083599954985	0	-38.951
"262"	4	1	"04/15/16 09:07:31"	1460711155.74028	-37.992	1.868	-38.116	1.31	-8.396	2.218	4.078	0.008	0.045	0	4.102	0.005	0.045	0	126.782	0.11	1.43	0.003	0.675	0.001	0	NA	NA	NA	NA	NA	NA	"29"	29	5	867	" Mtot=755.10. took a long time until I started the injection."	"04/15/16"	"09:07:31"	1460711155.74028	4.147	4.123	128.212	NA	NA	1023.2	7	767.46311373864	4.51878394924532	0	-38.116
"263"	5	1	"04/15/16 09:18:54"	1460711838.48246	-40.498	1.543	-38.544	1.225	-7.802	1.975	3.989	0.007	0.044	0	4.019	0.005	0.044	0	127.818	0.117	1.451	0.003	1.01	0.002	0	NA	NA	NA	NA	NA	NA	"29"	29	5	867	" Mtot=755.10. Pssim=867 Torr."	"04/15/16"	"09:18:54"	1460711838.48246	4.063	4.033	129.269	NA	NA	1023.2	7	767.46311373864	4.51878394924532	0	-38.544
"264"	6	1	"04/15/16 09:33:26"	1460712711.28013	-41.359	1.876	-38.174	1.211	-7.707	2.043	4.122	0.008	0.045	0	4.156	0.005	0.046	0	124.623	0.125	1.42	0.003	1.218	0.002	0	NA	NA	NA	NA	NA	NA	"33"	33	5	867	" Mtot=792.12. "	"04/15/16"	"09:33:26"	1460712711.28013	4.202	4.167	126.043	NA	NA	1023.2	7	767.46311373864	4.51878394924532	0	-38.174
"265"	7	1	"04/15/16 09:44:21"	1460713365.64115	-41.227	1.643	-37.992	1.539	-8.254	1.959	4.013	0.007	0.044	0	4.044	0.005	0.044	0	123.539	0.127	1.405	0.003	1.144	0.001	0	NA	NA	NA	NA	NA	NA	"33"	33	5	867	" Mtot=792.12. Pssim=867 Torr."	"04/15/16"	"09:44:21"	1460713365.64115	4.088	4.057	124.944	NA	NA	1023.2	7	767.46311373864	4.51878394924532	0	-37.992
"271"	13	1	"04/15/16 21:40:13"	1460756317.84767	-38.561	1.947	-39.18	1.402	-9.156	1.847	4.192	0.009	0.046	0	4.206	0.005	0.046	0	149.178	0.118	1.674	0.003	0.44	0.002	0	NA	NA	NA	NA	NA	NA	"37"	37	5	872	" Mtot = 740.40. this after a break while Brice and Christiane used the zero air. Pssim = 871.9."	"04/15/16"	"21:40:13"	1460756317.84767	4.252	4.238	150.852	NA	NA	1023.2	7	767.46311373864	4.54484383361236	0	-39.18
"272"	14	1	"04/15/16 21:51:15"	1460756979.66251	-39.612	1.831	-39.491	1.148	-8.946	1.781	4.149	0.007	0.045	0	4.164	0.005	0.045	0	149.631	0.121	1.683	0.003	0.549	0.001	0	NA	NA	NA	NA	NA	NA	"37"	37	5	871	" Mtot = 740.40."	"04/15/16"	"21:51:15"	1460756979.66251	4.209	4.194	151.314	NA	NA	1023.2	7	767.46311373864	4.53963185673895	0	-39.491
"278"	20	1	"04/16/16 00:10:27"	1460765332.03847	-22.574	0.152	9999999	0	-10.684	9.209	77.544	0.096	0.856	0.001	59.565	0	9999999	0	25.541	0.085	0.285	0.003	0.288	0.001	0	NA	NA	NA	NA	NA	NA	"27"	27	1	871	" Mtot = 755.23. Pretty wet."	"04/16/16"	"00:10:27"	1460765332.03847	10000058.565	78.4	25.826	NA	NA	1027.67	8	770.815889460309	22.5994303415264	0	9999999
"279"	21	1	"04/16/16 00:21:11"	1460765975.88231	-22.697	0.185	9999999	0	-3.348	8.883	76.694	0.098	0.849	0.001	51.76	0	9999999	0	26.437	0.075	0.299	0.003	0.523	0.001	0	NA	NA	NA	NA	NA	NA	"27"	27	1	870	" Mtot = 755.23."	"04/16/16"	"00:21:11"	1460765975.88231	10000050.76	77.543	26.736	NA	NA	1027.67	8	770.815889460309	22.5734838084133	0	9999999
"280"	22	1	"04/16/16 00:32:32"	1460766657.69698	-22.515	0.152	9999999	0	-6.894	9.321	85.251	0.109	0.942	0.001	68.617	0	9999999	0	24.301	0.062	0.273	0.002	0.405	0.001	0	NA	NA	NA	NA	NA	NA	"30"	30	1	870	" Mtot = 494.79. Pssim = 869.8."	"04/16/16"	"00:32:32"	1460766657.69698	10000067.617	86.193	24.574	NA	NA	1027.67	8	770.815889460309	22.5734838084133	0	9999999
"281"	23	1	"04/16/16 00:42:41"	1460767266.29022	-22.665	0.172	9999999	0	-13.263	8.122	85.526	0.108	0.944	0.001	62.025	0	9999999	0	24.244	0.062	0.27	0.002	0.31	0.001	0	NA	NA	NA	NA	NA	NA	"30"	30	1	870	" Mtot = 494.79. Pssim = 869.5."	"04/16/16"	"00:42:41"	1460767266.29022	10000061.025	86.47	24.514	NA	NA	1027.67	8	770.815889460309	22.5734838084133	0	9999999
"282"	24	1	"04/16/16 00:54:02"	1460767945.84683	-22.592	0.166	9999999	0	-13.541	11.069	74.177	0.091	0.818	0.001	60.688	0	9999999	0	25.656	0.089	0.286	0.003	0.283	0.001	0	NA	NA	NA	NA	NA	NA	"34"	34	1	870	" Mtot = 477.33. Water droplet in syringe. Pssim = 869.5."	"04/16/16"	"00:54:02"	1460767945.84683	10000059.688	74.995	25.942	NA	NA	1027.67	8	770.815889460309	22.5734838084133	0	9999999
"283"	25	1	"04/16/16 01:05:45"	1460768649.36006	-22.729	0.146	9999999	0	-12.545	10.306	74.383	0.092	0.82	0.001	50.218	0	9999999	0	26.031	0.076	0.29	0.003	0.28	0.001	0	NA	NA	NA	NA	NA	NA	"34"	34	1	870	" Mtot = 477.33."	"04/16/16"	"01:05:45"	1460768649.36006	10000049.218	75.203	26.321	NA	NA	1027.67	8	770.815889460309	22.5734838084133	0	9999999
"284"	26	1	"04/16/16 01:15:52"	1460769256.74319	-22.53	0.183	9999999	0	-12.387	8.33	78.766	0.097	0.869	0.001	66.123	0	9999999	0	28.784	0.07	0.321	0.003	0.307	0.001	0	NA	NA	NA	NA	NA	NA	"38"	38	1	870	" Mtot = 762.59."	"04/16/16"	"01:15:52"	1460769256.74319	10000065.123	79.635	29.105	NA	NA	1027.67	8	770.815889460309	22.5734838084133	0	9999999
"285"	27	1	"04/16/16 01:25:47"	1460769852.23739	-22.6	0.181	9999999	0	-14.98	7.763	79.288	0.099	0.875	0.001	60.769	0	9999999	0	29.506	0.073	0.328	0.002	0.299	0.001	0	NA	NA	NA	NA	NA	NA	"38"	38	1	869	" Mtot = 762.59. Pssim = 869.1."	"04/16/16"	"01:25:47"	1460769852.23739	10000059.769	80.163	29.834	NA	NA	1027.67	8	770.815889460309	22.5475372753002	0	9999999
