"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"244"	22	1	"07/13/16 11:18:03"	1468422988.3312	-38.111	1.025	-38.774	0.709	-19.93	3.223	7.436	0.013	0.081	0	7.432	0.012	0.08	0	85.652	0.182	0.945	0.004	0.099	0.003	0	NA	NA	NA	NA	NA	NA	30	58	3	856	" Mtot = 904.63."	"07/13/16"	"11:18:03"	7.512	7.517	86.597	NA	NA	1015.91	30	761.995164071757	7.48911139563252	0	-38.774
"245"	23	1	"07/13/16 11:28:45"	1468423629.28621	-37.91	0.928	-38.595	0.616	-15.347	2.014	9.24	0.018	0.1	0	9.234	0.016	0.1	0	130.015	0.212	1.441	0.004	0.091	0.003	0	NA	NA	NA	NA	NA	NA	14	59	5	856	" Mtot = 884.49."	"07/13/16"	"11:28:45"	9.334	9.34	131.456	NA	NA	1015.91	30	761.995164071757	4.49346683737951	0	-38.595
"246"	24	1	"07/13/16 11:39:24"	1468424268.33932	-38.047	0.797	-38.787	0.632	-15.449	1.856	9.133	0.016	0.099	0	9.127	0.015	0.099	0	131.062	0.21	1.452	0.004	0.09	0.003	0	NA	NA	NA	NA	NA	NA	14	59	5	856	" Mtot = 884.49."	"07/13/16"	"11:39:24"	9.226	9.232	132.514	NA	NA	1015.91	30	761.995164071757	4.49346683737951	0	-38.787
"247"	25	1	"07/13/16 11:49:45"	1468424889.84296	-37.876	1.123	-38.676	0.657	-20.749	2.72	7.52	0.015	0.081	0	7.517	0.013	0.081	0	86.36	0.166	0.952	0.004	0.091	0.003	0	NA	NA	NA	NA	NA	NA	33	61	5	856	" Mtot = 798.36. 0.5 mM BES"	"07/13/16"	"11:49:45"	7.598	7.601	87.312	NA	NA	1015.91	30	761.995164071757	4.49346683737951	0	-38.676
"248"	26	1	"07/13/16 12:00:39"	1468425543.76554	-37.957	1.056	-38.572	0.714	-19.911	2.185	7.478	0.013	0.081	0	7.473	0.013	0.081	0	90.407	0.191	0.997	0.003	0.088	0.002	0	NA	NA	NA	NA	NA	NA	33	61	5	856	" Mtot = 798.36. 0.5 mM BES"	"07/13/16"	"12:00:39"	7.554	7.559	91.404	NA	NA	1015.91	30	761.995164071757	4.49346683737951	0	-38.572
"256"	34	1	"07/13/16 14:03:52"	1468432937.75739	-22.727	0.161	9999999	0	-42.004	9.394	70.834	0.121	0.779	0.001	56.238	0	9999999	0	27.622	0.124	0.298	0.003	0.087	0.002	0	NA	NA	NA	NA	NA	NA	12	57	1	854	" Mtot = 882.95."	"07/13/16"	"14:03:52"	10000055.238	71.613	27.92	NA	NA	1015.91	30	761.995164071757	22.4148404154328	0	9999999
"257"	35	1	"07/13/16 14:14:11"	1468433556.277	-22.734	0.124	9999999	0	-42.044	8.155	71.232	0.122	0.783	0.001	50.811	0	9999999	0	29.248	0.12	0.315	0.003	0.094	0.002	0	NA	NA	NA	NA	NA	NA	12	57	1	854	" Mtot = 882.95."	"07/13/16"	"14:14:11"	10000049.811	72.015	29.563	NA	NA	1015.91	30	761.995164071757	22.4148404154328	0	9999999
"258"	36	1	"07/13/16 14:24:53"	1468434199.14955	-22.691	0.169	9999999	0	-38.919	6.899	83.779	0.145	0.921	0.002	64.136	0	9999999	0	31.335	0.134	0.339	0.003	0.095	0.002	0	NA	NA	NA	NA	NA	NA	28	60	1	853	" Mtot = 809.11."	"07/13/16"	"14:24:53"	10000063.136	84.7	31.674	NA	NA	1015.91	30	761.995164071757	22.3885935297005	0	9999999
"259"	37	1	"07/13/16 14:35:55"	1468434859.60481	-22.666	0.148	9999999	0	-37.644	7.042	83.149	0.147	0.914	0.002	67.809	0	9999999	0	31.938	0.131	0.346	0.003	0.091	0.002	0	NA	NA	NA	NA	NA	NA	28	60	1	853	" Mtot = 809.11."	"07/13/16"	"14:35:55"	10000066.809	84.063	32.284	NA	NA	1015.91	30	761.995164071757	22.3885935297005	0	9999999
"271"	7	1	"07/14/16 10:58:25"	1468508210.2665	-36.033	2.541	-37.688	1.738	-14.742	1.805	3.12	0.008	0.034	0	3.126	0.005	0.034	0	114.854	0.187	1.275	0.003	0.166	0.003	0	NA	NA	NA	NA	NA	NA	42	62	5	870	" Mtot = 916.04."	"07/14/16"	"10:58:25"	3.16	3.154	116.129	NA	NA	1014	31	760.5625462578	4.57556057305565	0	-37.688
"272"	8	1	"07/14/16 11:08:33"	1468508817.62656	-35.87	2.569	-37.545	1.442	-15.013	1.994	3.119	0.007	0.034	0	3.127	0.005	0.034	0	118.936	0.186	1.321	0.004	0.181	0.003	0	NA	NA	NA	NA	NA	NA	42	62	5	870	" Mtot = 916.04."	"07/14/16"	"11:08:33"	3.161	3.153	120.257	NA	NA	1014	31	760.5625462578	4.57556057305565	0	-37.545
"273"	9	1	"07/14/16 11:18:57"	1468509442.3707	-35.952	2.399	-37.681	1.664	-14.613	1.832	2.963	0.007	0.032	0	2.97	0.005	0.032	0	116.395	0.172	1.293	0.003	0.17	0.003	0	NA	NA	NA	NA	NA	NA	43	63	5	869	" Mtot = 825.98."	"07/14/16"	"11:18:57"	3.002	2.995	117.688	NA	NA	1014	31	760.5625462578	4.57030130802915	0	-37.681
"274"	10	1	"07/14/16 11:29:55"	1468510099.5395	-34.971	2.026	-37.466	1.77	-16.283	1.695	2.991	0.008	0.033	0	3.009	0.005	0.033	0	144.613	0.21	1.608	0.004	0.354	0.004	0	NA	NA	NA	NA	NA	NA	43	63	5	868	" Mtot = 825.98. only put in syringe when open valve was prompted and opened valve when injection was prompted."	"07/14/16"	"11:29:55"	3.042	3.024	146.221	NA	NA	1014	31	760.5625462578	4.56504204300264	0	-37.466
"275"	11	1	"07/14/16 11:41:02"	1468510766.48478	-34.686	2.283	-37.584	1.658	-19.494	2.141	3.031	0.009	0.033	0	3.047	0.005	0.033	0	118.831	0.199	1.315	0.004	0.269	0.004	0	NA	NA	NA	NA	NA	NA	49	64	5	867	" Mtot = 834.15. 0.5 mM BES"	"07/14/16"	"11:41:02"	3.08	3.064	120.146	NA	NA	1014	31	760.5625462578	4.55978277797614	0	-37.584
"276"	12	1	"07/14/16 11:53:09"	1468511494.29046	-34.998	2.685	-37.936	1.503	-21.486	1.681	3.023	0.008	0.033	0	3.039	0.005	0.033	0	122.386	0.198	1.353	0.003	0.296	0.003	0	NA	NA	NA	NA	NA	NA	49	64	5	867	" Mtot = 834.15. 0.5 mM BES"	"07/14/16"	"11:53:09"	3.072	3.056	123.739	NA	NA	1014	31	760.5625462578	4.55978277797614	0	-37.936
"277"	13	1	"07/14/16 12:17:24"	1468512949.29833	-36.103	2.181	-37.628	1.673	-112.283	18.81	3.452	0.008	0.038	0	3.462	0.005	0.038	0	12.231	0.105	0.123	0.003	0.232	0.003	0	NA	NA	NA	NA	NA	NA	45	65	5	868	" Mtot = 901.14. 31 mM NaOH"	"07/14/16"	"12:17:24"	3.5	3.49	12.354	NA	NA	1014	31	760.5625462578	4.56504204300264	0	-37.628
"278"	14	1	"07/14/16 12:27:28"	1468513552.43547	-35.689	2.617	-37.593	1.671	-134.753	26.34	3.419	0.008	0.037	0	3.43	0.006	0.037	0	9.208	0.105	0.09	0.003	0.244	0.003	0	NA	NA	NA	NA	NA	NA	45	65	5	868	" Mtot = 901.14. 31 mM NaOH"	"07/14/16"	"12:27:28"	3.467	3.456	9.298	NA	NA	1014	31	760.5625462578	4.56504204300264	0	-37.593
"282"	18	1	"07/14/16 13:08:36"	1468516021.0538	-36.642	0.958	-37.698	0.741	-22.012	3.985	7.099	0.011	0.077	0	7.101	0.011	0.077	0	58.989	0.144	0.65	0.003	0.126	0.003	0	NA	NA	NA	NA	NA	NA	44	66	3	867	" Mtot = 961.73."	"07/14/16"	"13:08:36"	7.178	7.176	59.639	NA	NA	1014	31	760.5625462578	7.59963796329357	0	-37.698
"283"	19	1	"07/14/16 13:19:06"	1468516651.03979	-36.512	0.948	-37.709	0.811	-21.919	3.539	7.129	0.011	0.077	0	7.132	0.01	0.077	0	64.483	0.133	0.71	0.003	0.128	0.003	0	NA	NA	NA	NA	NA	NA	44	66	3	867	" Mtot = 961.73."	"07/14/16"	"13:19:06"	7.209	7.206	65.193	NA	NA	1014	31	760.5625462578	7.59963796329357	0	-37.709
"284"	20	1	"07/14/16 13:32:10"	1468517434.79205	-36.616	0.967	-37.77	0.765	-20.196	3.893	8.11	0.014	0.088	0	8.111	0.012	0.088	0	65.831	0.149	0.726	0.003	0.107	0.003	0	NA	NA	NA	NA	NA	NA	46	67	3	867	" Mtot = 889.83."	"07/14/16"	"13:32:10"	8.199	8.198	66.557	NA	NA	1014	31	760.5625462578	7.59963796329357	0	-37.77
"285"	21	1	"07/14/16 13:45:47"	1468518251.97333	-36.439	0.907	-37.731	0.66	-25.499	4.048	8.059	0.014	0.087	0	8.063	0.013	0.087	0	67.712	0.16	0.743	0.004	0.142	0.003	0	NA	NA	NA	NA	NA	NA	46	67	3	867	" Mtot = 889.83."	"07/14/16"	"13:45:47"	8.15	8.146	68.455	NA	NA	1014	31	760.5625462578	7.59963796329357	0	-37.731
"286"	22	1	"07/14/16 13:57:57"	1468518981.4572	-36.399	0.964	-37.879	0.763	-26.177	3.643	7.79	0.014	0.085	0	7.798	0.013	0.084	0	69.406	0.152	0.762	0.003	0.188	0.003	0	NA	NA	NA	NA	NA	NA	48	68	3	867	" Mtot = 890.51. 0.5 mM BES"	"07/14/16"	"13:57:57"	7.882	7.875	70.168	NA	NA	1014	31	760.5625462578	7.59963796329357	0	-37.879
"287"	23	1	"07/14/16 14:08:00"	1468519584.56106	-36.518	0.982	-37.855	0.633	-23.04	4.115	7.519	0.014	0.082	0	7.529	0.012	0.082	0	66.842	0.155	0.737	0.004	0.249	0.003	0	NA	NA	NA	NA	NA	NA	48	68	3	866	" Mtot = 890.51. 0.5 mM BES"	"07/14/16"	"14:08:00"	7.611	7.601	67.579	NA	NA	1014	31	760.5625462578	7.59087252158274	0	-37.855
"288"	24	1	"07/14/16 14:18:20"	1468520205.01157	-36.501	1.02	-37.651	0.715	-115.441	29.885	7.515	0.013	0.082	0	7.524	0.012	0.082	0	9.36	0.111	0.094	0.004	0.276	0.003	0	NA	NA	NA	NA	NA	NA	41	69	3	866	" Mtot = 838.77. 31 mM NaOH"	"07/14/16"	"14:18:20"	7.606	7.597	9.454	NA	NA	1014	31	760.5625462578	7.59087252158274	0	-37.651
"289"	25	1	"07/14/16 14:29:31"	1468520875.34356	-36.508	0.965	-37.675	0.723	-97.593	24.08	7.485	0.014	0.081	0	7.491	0.012	0.081	0	10.943	0.107	0.111	0.003	0.208	0.003	0	NA	NA	NA	NA	NA	NA	41	69	3	866	" Mtot = 838.77. 31 mM NaOH"	"07/14/16"	"14:29:31"	7.572	7.566	11.054	NA	NA	1014	31	760.5625462578	7.59087252158274	0	-37.675
"298"	34	1	"07/14/16 16:43:36"	1468528920.6099	-22.725	0.209	9999999	0	-36.873	10.4	73.02	0.115	0.803	0.001	52.75	0	9999999	0	24.211	0.117	0.263	0.003	0.119	0.003	0	NA	NA	NA	NA	NA	NA	19	70	1	865	" Mtot = 908.21. tried to fasten the valve on the syringe and accidentally loosened it a bit."	"07/14/16"	"16:43:36"	10000051.75	73.823	24.474	NA	NA	1014	31	760.5625462578	22.7463212396157	0	9999999
"299"	35	1	"07/14/16 16:53:55"	1468529541.04545	-22.646	0.18	9999999	0	-35.824	8.524	74.029	0.117	0.815	0.001	59.618	0	9999999	0	25.811	0.118	0.28	0.003	0.121	0.002	0	NA	NA	NA	NA	NA	NA	19	70	1	865	" Mtot = 908.21."	"07/14/16"	"16:53:55"	10000058.618	74.844	26.091	NA	NA	1014	31	760.5625462578	22.7463212396157	0	9999999
"300"	36	1	"07/14/16 17:03:49"	1468530133.32028	-22.742	0.182	9999999	0	-35.36	9.664	74.889	0.123	0.824	0.001	59.051	0	9999999	0	24.372	0.116	0.265	0.003	0.122	0.003	0	NA	NA	NA	NA	NA	NA	40	71	1	864	" Mtot = 882.03."	"07/14/16"	"17:03:49"	10000058.051	75.713	24.637	NA	NA	1014	31	760.5625462578	22.7200249144832	0	9999999
"301"	37	1	"07/14/16 17:13:51"	1468530734.76029	-22.755	0.145	9999999	0	-36.766	8.954	74.146	0.119	0.816	0.001	51.276	0	9999999	0	25.159	0.123	0.273	0.003	0.127	0.003	0	NA	NA	NA	NA	NA	NA	40	71	1	864	" Mtot = 882.03."	"07/14/16"	"17:13:51"	10000050.276	74.962	25.432	NA	NA	1014	31	760.5625462578	22.7200249144832	0	9999999
"302"	38	1	"07/14/16 17:24:14"	1468531357.73916	-22.681	0.165	9999999	0	-35.173	11.794	71.617	0.116	0.788	0.001	53.451	0	9999999	0	25.008	0.12	0.272	0.004	0.124	0.003	0	NA	NA	NA	NA	NA	NA	47	72	1	864	" Mtot = 921.89. 0.5 mM BES"	"07/14/16"	"17:24:14"	10000052.451	72.405	25.28	NA	NA	1014	31	760.5625462578	22.7200249144832	0	9999999
"303"	39	1	"07/14/16 17:34:41"	1468531985.41954	-22.664	0.16	9999999	0	-34.331	9.833	70.633	0.115	0.777	0.001	52.532	0	9999999	0	24.759	0.117	0.269	0.003	0.125	0.003	0	NA	NA	NA	NA	NA	NA	47	72	1	864	" Mtot = 921.89. 0.5 mM BES"	"07/14/16"	"17:34:41"	10000051.532	71.41	25.028	NA	NA	1014	31	760.5625462578	22.7200249144832	0	9999999
"304"	40	1	"07/14/16 17:44:46"	1468532589.86061	-22.695	0.176	9999999	0	-107.424	45.168	72.119	0.116	0.794	0.001	57.046	0	9999999	0	5.793	0.096	0.058	0.003	0.123	0.003	0	NA	NA	NA	NA	NA	NA	50	73	1	864	" Mtot = 840.46. 31 mM NaOH"	"07/14/16"	"17:44:46"	10000056.046	72.913	5.851	NA	NA	1014	31	760.5625462578	22.7200249144832	0	9999999
"305"	41	1	"07/14/16 17:55:24"	1468533229.8865	-22.757	0.13	9999999	0	-105.91	41.632	76.319	0.123	0.84	0.001	48.793	0	9999999	0	5.59	0.095	0.056	0.003	0.127	0.003	0	NA	NA	NA	NA	NA	NA	50	73	1	864	" Mtot = 840.46. 31 mM NaOH"	"07/14/16"	"17:55:24"	10000047.793	77.159	5.646	NA	NA	1014	31	760.5625462578	22.7200249144832	0	9999999
"306"	42	1	"07/14/16 18:15:11"	1468534415.65633	-22.829	0.126	9999999	0	-93.153	45.594	72.44	0.115	0.797	0.001	50.202	0	9999999	0	5.774	0.103	0.059	0.003	0.099	0.002	0	NA	NA	NA	NA	NA	NA	50	73	1	864	" Mtot = 840.46. 31 mM NaOH"	"07/14/16"	"18:15:11"	10000049.202	73.237	5.833	NA	NA	1014	31	760.5625462578	22.7200249144832	0	9999999
"307"	43	1	"07/14/16 18:25:44"	1468535048.08363	-22.611	0.159	9999999	0	-94.459	41.454	78.05	0.127	0.859	0.001	49.965	0	9999999	0	5.324	0.107	0.054	0.003	0.118	0.002	0	NA	NA	NA	NA	NA	NA	39	44	1	864	" Mtot = 652.45. repetition of killed bag from Barrow. conc probably not correct. because Clarisse tried to filter. but maybe the isotope ratio. looks leaky around the valve."	"07/14/16"	"18:25:44"	10000048.965	78.909	5.378	NA	NA	1014	31	760.5625462578	22.7200249144832	0	9999999
"308"	44	1	"07/14/16 18:39:33"	1468535877.35607	-22.691	0.182	9999999	0	-97.317	38.251	78.865	0.13	0.868	0.001	61.768	0	9999999	0	6.742	0.109	0.069	0.003	0.129	0.002	0	NA	NA	NA	NA	NA	NA	39	44	1	864	" Mtot = 652.45. repetition of killed bag from Barrow. conc probably not correct. because Clarisse tried to filter. but maybe the isotope ratio. looks leaky around the valve."	"07/14/16"	"18:39:33"	10000060.768	79.733	6.811	NA	NA	1014	31	760.5625462578	22.7200249144832	0	9999999
"319"	7	1	"07/20/16 08:53:36"	1469019120.70062	-63.042	1.382	-43.505	0.977	-7.032	0.201	4.866	0.008	0.051	0	4.744	0.007	0.051	0	1940.208	1.378	21.668	0.015	0.05	0.002	1	NA	NA	NA	NA	NA	NA	8	50	5	876	" Mtot = 951.33. CO2 alarm on. next injection with 3mL. ChemDetect ON."	"07/20/16"	"08:53:36"	4.795	4.917	1961.876	NA	NA	1021.91	34	766.495534167957	4.57145520593756	0	-43.505
"320"	8	1	"07/20/16 09:05:15"	1469019819.55201	-62.932	3.261	-43.725	2.361	-7.781	0.328	2.885	0.008	0.03	0	2.814	0.004	0.03	0	1169.087	1.025	13.044	0.012	0.041	0.002	1	NA	NA	NA	NA	NA	NA	8	50	3	876	" Mtot = 951.33. ChemDetect ON."	"07/20/16"	"09:05:15"	2.844	2.915	1182.131	NA	NA	1021.91	34	766.495534167957	7.61909200989594	0	-43.725
"325"	13	1	"07/20/16 10:02:27"	1469023250.9455	-44.399	3.844	-42.257	2.494	-65.104	10.484	2.136	0.008	0.023	0	2.125	0.003	0.023	0	18.082	0.158	0.19	0.003	0.024	0.001	0	NA	NA	NA	NA	NA	NA	23	53	5	876	" Mtot = 809.55. 93 mM NaOH. NaOH concentration tripled (added 2x more) since the last injection."	"07/20/16"	"10:02:27"	2.148	2.159	18.272	NA	NA	1021.91	34	766.495534167957	4.57145520593756	0	-42.257
"326"	14	1	"07/20/16 10:12:40"	1469023865.00747	-43.616	3.336	-42.363	2.284	-82.795	22.466	2.129	0.007	0.023	0	2.121	0.003	0.023	0	12.429	0.133	0.128	0.003	0.024	0.002	0	NA	NA	NA	NA	NA	NA	23	53	5	875	" Mtot = 809.55. 93 mM NaOH. NaOH concentration tripled (added 2x more) since the last injection."	"07/20/16"	"10:12:40"	2.144	2.152	12.557	NA	NA	1021.91	34	766.495534167957	4.5662366497664	0	-42.363
"332"	20	1	"07/20/16 11:17:43"	1469027767.83311	-47.545	0.76	-49.027	0.71	-95.265	21.763	10.156	0.016	0.109	0	10.142	0.015	0.108	0	10.578	0.117	0.108	0.003	0.019	0.001	0	NA	NA	NA	NA	NA	NA	11	56	3	875	" Mtot = 820.55. 93 mM NaOH. NaOH concentration tripled (added 2x more) since the last injection."	"07/20/16"	"11:17:43"	10.25	10.265	10.686	NA	NA	1021.91	34	766.495534167957	7.61039441627734	0	-49.027
"333"	21	1	"07/20/16 11:28:00"	1469028384.97993	-47.626	0.715	-49.195	0.485	-101.275	24.689	10.163	0.016	0.109	0	10.151	0.015	0.108	0	9.034	0.114	0.091	0.003	0.02	0.001	0	NA	NA	NA	NA	NA	NA	11	56	3	875	" Mtot = 820.55. 93 mM NaOH. NaOH concentration tripled (added 2x more) since the last injection."	"07/20/16"	"11:28:00"	10.259	10.272	9.125	NA	NA	1021.91	34	766.495534167957	7.61039441627734	0	-49.195
"334"	22	1	"07/20/16 11:38:35"	1469029020.78167	-38.344	1.114	-38.975	0.843	-14.044	1.626	7.682	0.013	0.083	0	7.673	0.012	0.083	0	142.415	0.202	1.578	0.004	0.019	0.001	0	NA	NA	NA	NA	NA	NA	30	58	3	875	" Mtot = 904.63."	"07/20/16"	"11:38:35"	7.756	7.765	143.993	NA	NA	1021.91	34	766.495534167957	7.61039441627734	0	-38.975
"335"	23	1	"07/20/16 11:48:36"	1469029620.67229	-38.149	0.93	-38.928	0.607	-13.626	1.693	7.68	0.013	0.083	0	7.673	0.011	0.083	0	147.045	0.207	1.63	0.004	0.019	0.001	0	NA	NA	NA	NA	NA	NA	30	58	3	875	" Mtot = 904.63."	"07/20/16"	"11:48:36"	7.756	7.763	148.675	NA	NA	1021.91	34	766.495534167957	7.61039441627734	0	-38.928
"336"	24	1	"07/20/16 11:58:51"	1469030235.77538	-38.263	0.997	-38.931	0.645	-11.01	1.148	9.462	0.016	0.102	0	9.451	0.013	0.102	0	239.232	0.286	2.66	0.005	0.019	0.001	0	NA	NA	NA	NA	NA	NA	14	59	5	875	" Mtot = 884.49."	"07/20/16"	"11:58:51"	9.553	9.564	241.892	NA	NA	1021.91	34	766.495534167957	4.5662366497664	0	-38.931
"337"	25	1	"07/20/16 12:09:01"	1469030845.36716	-37.92	0.888	-38.881	0.769	-10.772	1.279	9.383	0.015	0.101	0	9.375	0.014	0.101	0	239.732	0.3	2.666	0.004	0.019	0.001	0	NA	NA	NA	NA	NA	NA	14	59	5	875	" Mtot = 884.49."	"07/20/16"	"12:09:01"	9.476	9.484	242.398	NA	NA	1021.91	34	766.495534167957	4.5662366497664	0	-38.881
"338"	26	1	"07/20/16 12:18:52"	1469031437.03579	-38.202	0.802	-38.985	0.626	-12.483	1.296	7.677	0.012	0.083	0	7.67	0.012	0.083	0	177.926	0.26	1.975	0.004	0.018	0.001	0	NA	NA	NA	NA	NA	NA	33	61	5	874	" Mtot = 798.36. 0.5 mM BES"	"07/20/16"	"12:18:52"	7.753	7.76	179.901	NA	NA	1021.91	34	766.495534167957	4.56101809359524	0	-38.985
"339"	27	1	"07/20/16 12:28:34"	1469032017.86028	-38.206	0.863	-38.89	0.626	-12.889	1.47	7.712	0.013	0.083	0	7.704	0.012	0.083	0	178.851	0.25	1.985	0.004	0.018	0.001	0	NA	NA	NA	NA	NA	NA	33	61	5	874	" Mtot = 798.36. 0.5 mM BES"	"07/20/16"	"12:28:34"	7.787	7.795	180.836	NA	NA	1021.91	34	766.495534167957	4.56101809359524	0	-38.89
"347"	35	1	"07/20/16 14:04:23"	1469037767.61917	-19.879	0.202	9999999	0	-33.814	7.724	53.042	0.079	0.584	0.001	41.018	0	9999999	0	34.258	0.126	0.372	0.003	0.012	0.001	0	NA	NA	NA	NA	NA	NA	12	57	1	873	" Mtot = 882.95."	"07/20/16"	"14:04:23"	10000040.018	53.626	34.63	NA	NA	1021.91	34	766.495534167957	22.7789976871204	0	9999999
"348"	36	1	"07/20/16 14:14:59"	1469038403.48207	-19.784	0.231	9999999	0	-33.57	5.557	53.128	0.081	0.585	0.001	45.098	0	9999999	0	35.69	0.157	0.388	0.003	0.012	0.001	0	NA	NA	NA	NA	NA	NA	12	57	1	873	" Mtot = 882.95."	"07/20/16"	"14:14:59"	10000044.098	53.713	36.078	NA	NA	1021.91	34	766.495534167957	22.7789976871204	0	9999999
"349"	37	1	"07/20/16 14:34:41"	1469039585.04233	-22.18	0.144	9999999	0	-26.311	4.875	76.805	0.116	0.844	0.001	57.694	0	9999999	0	51.871	0.146	0.568	0.003	0.009	0.001	0	NA	NA	NA	NA	NA	NA	28	60	1	873	" Mtot = 809.11."	"07/20/16"	"14:34:41"	10000056.694	77.649	52.439	NA	NA	1021.91	34	766.495534167957	22.7789976871204	0	9999999
"350"	38	1	"07/20/16 14:46:09"	1469040273.81332	-22.209	0.125	9999999	0	-27.106	4.873	76.413	0.112	0.84	0.001	50.28	0	9999999	0	54.285	0.152	0.594	0.004	0.011	0.001	0	NA	NA	NA	NA	NA	NA	28	60	1	873	" Mtot = 809.11."	"07/20/16"	"14:46:09"	10000049.28	77.253	54.879	NA	NA	1021.91	34	766.495534167957	22.7789976871204	0	9999999
"362"	8	1	"07/21/16 09:47:07"	1469108731.72312	-36.983	2.687	-38.703	1.855	-15.521	1.785	3.179	0.009	0.034	0	3.178	0.005	0.034	0	123.533	0.224	1.367	0.004	0.031	0.002	0	NA	NA	NA	NA	NA	NA	42	62	5	868	" Mtot = 916.04."	"07/21/16"	"09:47:07"	3.212	3.213	124.9	NA	NA	1019.79	35	764.905403400633	4.53912337991614	0	-38.703
"363"	9	1	"07/21/16 09:56:50"	1469109315.11337	-36.553	2.879	-38.184	1.936	-15.538	2.143	3.177	0.009	0.034	0	3.176	0.005	0.034	0	126.556	0.226	1.401	0.003	0.03	0.002	0	NA	NA	NA	NA	NA	NA	42	62	5	868	" Mtot = 916.04."	"07/21/16"	"09:56:50"	3.21	3.211	127.957	NA	NA	1019.79	35	764.905403400633	4.53912337991614	0	-38.184
"364"	10	1	"07/21/16 10:07:30"	1469109955.23551	-37.201	2.104	-38.47	1.58	-14.472	2.027	3.036	0.007	0.033	0	3.034	0.005	0.033	0	127.282	0.234	1.41	0.004	0.027	0.002	0	NA	NA	NA	NA	NA	NA	43	63	5	868	" Mtot = 825.98."	"07/21/16"	"10:07:30"	3.067	3.069	128.692	NA	NA	1019.79	35	764.905403400633	4.53912337991614	0	-38.47
"365"	11	1	"07/21/16 10:17:38"	1469110562.60715	-37.15	2.058	-38.749	1.944	-15.445	1.663	3.01	0.009	0.033	0	3.009	0.005	0.033	0	128.675	0.226	1.424	0.003	0.025	0.002	0	NA	NA	NA	NA	NA	NA	43	63	5	868	" Mtot = 825.98."	"07/21/16"	"10:17:38"	3.042	3.043	130.099	NA	NA	1019.79	35	764.905403400633	4.53912337991614	0	-38.749
"366"	12	1	"07/21/16 10:27:25"	1469111149.17768	-37.6	2.258	-38.728	1.748	-15.527	2.049	3.14	0.007	0.034	0	3.138	0.005	0.034	0	126.119	0.216	1.396	0.004	0.025	0.002	0	NA	NA	NA	NA	NA	NA	49	64	5	868	" Mtot = 834.15. 0.5 mM BES"	"07/21/16"	"10:27:25"	3.172	3.174	127.515	NA	NA	1019.79	35	764.905403400633	4.53912337991614	0	-38.728
"367"	13	1	"07/21/16 10:37:48"	1469111772.70312	-37.263	2.758	-38.314	1.661	-15.768	2.165	3.16	0.008	0.034	0	3.158	0.005	0.034	0	133.679	0.218	1.479	0.004	0.023	0.002	0	NA	NA	NA	NA	NA	NA	49	64	5	868	" Mtot = 834.15. 0.5 mM BES"	"07/21/16"	"10:37:48"	3.192	3.194	135.158	NA	NA	1019.79	35	764.905403400633	4.53912337991614	0	-38.314
"368"	14	1	"07/21/16 10:48:02"	1469112387.43973	-37.124	2.149	-38.338	1.323	-71.048	14.879	3.468	0.009	0.038	0	3.466	0.005	0.037	0	14.086	0.145	0.147	0.003	0.022	0.001	0	NA	NA	NA	NA	NA	NA	45	65	5	868	" Mtot = 901.14. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"10:48:02"	3.503	3.506	14.233	NA	NA	1019.79	35	764.905403400633	4.53912337991614	0	-38.338
"369"	15	1	"07/21/16 10:58:16"	1469113000.73125	-37.378	2.289	-38.201	1.249	-76.799	16.956	3.372	0.008	0.036	0	3.37	0.005	0.036	0	12.557	0.137	0.13	0.003	0.035	0.002	0	NA	NA	NA	NA	NA	NA	45	65	5	868	" Mtot = 901.14. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"10:58:16"	3.406	3.408	12.687	NA	NA	1019.79	35	764.905403400633	4.53912337991614	0	-38.201
